,Pair,Steps,GCD
2526,"[26, 27]",2,1
2527,"[26, 28]",2,2
2528,"[26, 29]",4,1
2529,"[26, 30]",3,2
2530,"[26, 31]",3,1
2531,"[26, 32]",3,2
2532,"[26, 33]",5,1
2533,"[26, 34]",3,2
2534,"[26, 35]",4,1
2535,"[26, 36]",5,2
2536,"[26, 37]",5,1
2537,"[26, 38]",3,2
2538,"[26, 39]",2,13
2539,"[26, 40]",4,2
2540,"[26, 41]",6,1
2541,"[26, 42]",6,2
2542,"[26, 43]",5,1
2543,"[26, 44]",4,2
2544,"[26, 45]",6,1
2545,"[26, 46]",4,2
2546,"[26, 47]",4,1
2547,"[26, 48]",4,2
2548,"[26, 49]",5,1
2549,"[26, 50]",3,2
2550,"[26, 51]",3,1
2551,"[26, 52]",1,26
2552,"[26, 53]",2,1
2553,"[26, 54]",2,2
2554,"[26, 55]",4,1
2555,"[26, 56]",3,2
2556,"[26, 57]",3,1
2557,"[26, 58]",3,2
2558,"[26, 59]",5,1
2559,"[26, 60]",3,2
2560,"[26, 61]",4,1
2561,"[26, 62]",5,2
2562,"[26, 63]",5,1
2563,"[26, 64]",3,2
2564,"[26, 65]",2,13
2565,"[26, 66]",4,2
2566,"[26, 67]",6,1
2567,"[26, 68]",6,2
2568,"[26, 69]",5,1
2569,"[26, 70]",4,2
2570,"[26, 71]",6,1
2571,"[26, 72]",4,2
2572,"[26, 73]",4,1
2573,"[26, 74]",4,2
2574,"[26, 75]",5,1
2575,"[26, 76]",3,2
2576,"[26, 77]",3,1
2577,"[26, 78]",1,26
2578,"[26, 79]",2,1
2579,"[26, 80]",2,2
2580,"[26, 81]",4,1
2581,"[26, 82]",3,2
2582,"[26, 83]",3,1
2583,"[26, 84]",3,2
2584,"[26, 85]",5,1
2585,"[26, 86]",3,2
2586,"[26, 87]",4,1
2587,"[26, 88]",5,2
2588,"[26, 89]",5,1
2589,"[26, 90]",3,2
2590,"[26, 91]",2,13
2591,"[26, 92]",4,2
2592,"[26, 93]",6,1
2593,"[26, 94]",6,2
2594,"[26, 95]",5,1
2595,"[26, 96]",4,2
2596,"[26, 97]",6,1
2597,"[26, 98]",4,2
2598,"[26, 99]",4,1
2599,"[26, 100]",4,2
2600,"[27, 1]",1,1
2601,"[27, 2]",2,1
2602,"[27, 3]",1,3
2603,"[27, 4]",3,1
2604,"[27, 5]",3,1
2605,"[27, 6]",2,3
2606,"[27, 7]",3,1
2607,"[27, 8]",4,1
2608,"[27, 9]",1,9
2609,"[27, 10]",4,1
2610,"[27, 11]",3,1
2611,"[27, 12]",2,3
2612,"[27, 13]",2,1
2613,"[27, 14]",3,1
2614,"[27, 15]",3,3
2615,"[27, 16]",4,1
2616,"[27, 17]",5,1
2617,"[27, 18]",2,9
2618,"[27, 19]",5,1
2619,"[27, 20]",4,1
2620,"[27, 21]",3,3
2621,"[27, 22]",4,1
2622,"[27, 23]",4,1
2623,"[27, 24]",2,3
2624,"[27, 25]",3,1
2625,"[27, 26]",2,1
2626,"[27, 27]",1,27
2627,"[27, 28]",2,1
2628,"[27, 29]",3,1
2629,"[27, 30]",2,3
2630,"[27, 31]",4,1
2631,"[27, 32]",4,1
2632,"[27, 33]",3,3
2633,"[27, 34]",4,1
2634,"[27, 35]",5,1
2635,"[27, 36]",2,9
2636,"[27, 37]",5,1
2637,"[27, 38]",4,1
2638,"[27, 39]",3,3
2639,"[27, 40]",3,1
2640,"[27, 41]",4,1
2641,"[27, 42]",4,3
2642,"[27, 43]",5,1
2643,"[27, 44]",6,1
2644,"[27, 45]",3,9
2645,"[27, 46]",6,1
2646,"[27, 47]",5,1
2647,"[27, 48]",4,3
2648,"[27, 49]",5,1
2649,"[27, 50]",5,1
2650,"[27, 51]",3,3
2651,"[27, 52]",4,1
2652,"[27, 53]",3,1
2653,"[27, 54]",1,27
2654,"[27, 55]",2,1
2655,"[27, 56]",3,1
2656,"[27, 57]",2,3
2657,"[27, 58]",4,1
2658,"[27, 59]",4,1
2659,"[27, 60]",3,3
2660,"[27, 61]",4,1
2661,"[27, 62]",5,1
2662,"[27, 63]",2,9
2663,"[27, 64]",5,1
2664,"[27, 65]",4,1
2665,"[27, 66]",3,3
2666,"[27, 67]",3,1
2667,"[27, 68]",4,1
2668,"[27, 69]",4,3
2669,"[27, 70]",5,1
2670,"[27, 71]",6,1
2671,"[27, 72]",3,9
2672,"[27, 73]",6,1
2673,"[27, 74]",5,1
2674,"[27, 75]",4,3
2675,"[27, 76]",5,1
2676,"[27, 77]",5,1
2677,"[27, 78]",3,3
2678,"[27, 79]",4,1
2679,"[27, 80]",3,1
2680,"[27, 81]",1,27
2681,"[27, 82]",2,1
2682,"[27, 83]",3,1
2683,"[27, 84]",2,3
2684,"[27, 85]",4,1
2685,"[27, 86]",4,1
2686,"[27, 87]",3,3
2687,"[27, 88]",4,1
2688,"[27, 89]",5,1
2689,"[27, 90]",2,9
2690,"[27, 91]",5,1
2691,"[27, 92]",4,1
2692,"[27, 93]",3,3
2693,"[27, 94]",3,1
2694,"[27, 95]",4,1
2695,"[27, 96]",4,3
2696,"[27, 97]",5,1
2697,"[27, 98]",6,1
2698,"[27, 99]",3,9
2699,"[27, 100]",6,1
2700,"[28, 1]",1,1
2701,"[28, 2]",1,2
2702,"[28, 3]",2,1
2703,"[28, 4]",1,4
2704,"[28, 5]",4,1
2705,"[28, 6]",3,2
2706,"[28, 7]",1,7
2707,"[28, 8]",2,4
2708,"[28, 9]",2,1
2709,"[28, 10]",3,2
2710,"[28, 11]",4,1
2711,"[28, 12]",2,4
2712,"[28, 13]",3,1
2713,"[28, 14]",1,14
2714,"[28, 15]",4,1
2715,"[28, 16]",3,4
2716,"[28, 17]",5,1
2717,"[28, 18]",4,2
2718,"[28, 19]",3,1
2719,"[28, 20]",3,4
2720,"[28, 21]",2,7
2721,"[28, 22]",4,2
2722,"[28, 23]",5,1
2723,"[28, 24]",2,4
2724,"[28, 25]",3,1
2725,"[28, 26]",2,2
2726,"[28, 27]",2,1
2727,"[28, 28]",1,28
2728,"[28, 29]",2,1
2729,"[28, 30]",2,2
2730,"[28, 31]",3,1
2731,"[28, 32]",2,4
2732,"[28, 33]",5,1
2733,"[28, 34]",4,2
2734,"[28, 35]",2,7
2735,"[28, 36]",3,4
2736,"[28, 37]",3,1
2737,"[28, 38]",4,2
2738,"[28, 39]",5,1
2739,"[28, 40]",3,4
2740,"[28, 41]",4,1
2741,"[28, 42]",2,14
2742,"[28, 43]",5,1
2743,"[28, 44]",4,4
2744,"[28, 45]",6,1
2745,"[28, 46]",5,2
2746,"[28, 47]",4,1
2747,"[28, 48]",4,4
2748,"[28, 49]",3,7
2749,"[28, 50]",5,2
2750,"[28, 51]",6,1
2751,"[28, 52]",3,4
2752,"[28, 53]",4,1
2753,"[28, 54]",3,2
2754,"[28, 55]",3,1
2755,"[28, 56]",1,28
2756,"[28, 57]",2,1
2757,"[28, 58]",2,2
2758,"[28, 59]",3,1
2759,"[28, 60]",2,4
2760,"[28, 61]",5,1
2761,"[28, 62]",4,2
2762,"[28, 63]",2,7
2763,"[28, 64]",3,4
2764,"[28, 65]",3,1
2765,"[28, 66]",4,2
2766,"[28, 67]",5,1
2767,"[28, 68]",3,4
2768,"[28, 69]",4,1
2769,"[28, 70]",2,14
2770,"[28, 71]",5,1
2771,"[28, 72]",4,4
2772,"[28, 73]",6,1
2773,"[28, 74]",5,2
2774,"[28, 75]",4,1
2775,"[28, 76]",4,4
2776,"[28, 77]",3,7
2777,"[28, 78]",5,2
2778,"[28, 79]",6,1
2779,"[28, 80]",3,4
2780,"[28, 81]",4,1
2781,"[28, 82]",3,2
2782,"[28, 83]",3,1
2783,"[28, 84]",1,28
2784,"[28, 85]",2,1
2785,"[28, 86]",2,2
2786,"[28, 87]",3,1
2787,"[28, 88]",2,4
2788,"[28, 89]",5,1
2789,"[28, 90]",4,2
2790,"[28, 91]",2,7
2791,"[28, 92]",3,4
2792,"[28, 93]",3,1
2793,"[28, 94]",4,2
2794,"[28, 95]",5,1
2795,"[28, 96]",3,4
2796,"[28, 97]",4,1
2797,"[28, 98]",2,14
2798,"[28, 99]",5,1
2799,"[28, 100]",4,4
2800,"[29, 1]",1,1
2801,"[29, 2]",2,1
2802,"[29, 3]",3,1
2803,"[29, 4]",2,1
2804,"[29, 5]",3,1
2805,"[29, 6]",3,1
2806,"[29, 7]",2,1
2807,"[29, 8]",5,1
2808,"[29, 9]",3,1
2809,"[29, 10]",3,1
2810,"[29, 11]",5,1
2811,"[29, 12]",4,1
2812,"[29, 13]",3,1
2813,"[29, 14]",2,1
2814,"[29, 15]",3,1
2815,"[29, 16]",4,1
2816,"[29, 17]",5,1
2817,"[29, 18]",6,1
2818,"[29, 19]",4,1
2819,"[29, 20]",4,1
2820,"[29, 21]",6,1
2821,"[29, 22]",3,1
2822,"[29, 23]",4,1
2823,"[29, 24]",4,1
2824,"[29, 25]",3,1
2825,"[29, 26]",4,1
2826,"[29, 27]",3,1
2827,"[29, 28]",2,1
2828,"[29, 29]",1,29
2829,"[29, 30]",2,1
2830,"[29, 31]",3,1
2831,"[29, 32]",4,1
2832,"[29, 33]",3,1
2833,"[29, 34]",4,1
2834,"[29, 35]",4,1
2835,"[29, 36]",3,1
2836,"[29, 37]",6,1
2837,"[29, 38]",4,1
2838,"[29, 39]",4,1
2839,"[29, 40]",6,1
2840,"[29, 41]",5,1
2841,"[29, 42]",4,1
2842,"[29, 43]",3,1
2843,"[29, 44]",4,1
2844,"[29, 45]",5,1
2845,"[29, 46]",6,1
2846,"[29, 47]",7,1
2847,"[29, 48]",5,1
2848,"[29, 49]",5,1
2849,"[29, 50]",7,1
2850,"[29, 51]",4,1
2851,"[29, 52]",5,1
2852,"[29, 53]",5,1
2853,"[29, 54]",4,1
2854,"[29, 55]",5,1
2855,"[29, 56]",4,1
2856,"[29, 57]",3,1
2857,"[29, 58]",1,29
2858,"[29, 59]",2,1
2859,"[29, 60]",3,1
2860,"[29, 61]",4,1
2861,"[29, 62]",3,1
2862,"[29, 63]",4,1
2863,"[29, 64]",4,1
2864,"[29, 65]",3,1
2865,"[29, 66]",6,1
2866,"[29, 67]",4,1
2867,"[29, 68]",4,1
2868,"[29, 69]",6,1
2869,"[29, 70]",5,1
2870,"[29, 71]",4,1
2871,"[29, 72]",3,1
2872,"[29, 73]",4,1
2873,"[29, 74]",5,1
2874,"[29, 75]",6,1
2875,"[29, 76]",7,1
2876,"[29, 77]",5,1
2877,"[29, 78]",5,1
2878,"[29, 79]",7,1
2879,"[29, 80]",4,1
2880,"[29, 81]",5,1
2881,"[29, 82]",5,1
2882,"[29, 83]",4,1
2883,"[29, 84]",5,1
2884,"[29, 85]",4,1
2885,"[29, 86]",3,1
2886,"[29, 87]",1,29
2887,"[29, 88]",2,1
2888,"[29, 89]",3,1
2889,"[29, 90]",4,1
2890,"[29, 91]",3,1
2891,"[29, 92]",4,1
2892,"[29, 93]",4,1
2893,"[29, 94]",3,1
2894,"[29, 95]",6,1
2895,"[29, 96]",4,1
2896,"[29, 97]",4,1
2897,"[29, 98]",6,1
2898,"[29, 99]",5,1
2899,"[29, 100]",4,1
2900,"[30, 1]",1,1
2901,"[30, 2]",1,2
2902,"[30, 3]",1,3
2903,"[30, 4]",2,2
2904,"[30, 5]",1,5
2905,"[30, 6]",1,6
2906,"[30, 7]",3,1
2907,"[30, 8]",3,2
2908,"[30, 9]",2,3
2909,"[30, 10]",1,10
2910,"[30, 11]",5,1
2911,"[30, 12]",2,6
2912,"[30, 13]",3,1
2913,"[30, 14]",2,2
2914,"[30, 15]",1,15
2915,"[30, 16]",3,2
2916,"[30, 17]",4,1
2917,"[30, 18]",3,6
2918,"[30, 19]",6,1
2919,"[30, 20]",2,10
2920,"[30, 21]",3,3
2921,"[30, 22]",4,2
2922,"[30, 23]",4,1
2923,"[30, 24]",2,6
2924,"[30, 25]",2,5
2925,"[30, 26]",3,2
2926,"[30, 27]",2,3
2927,"[30, 28]",2,2
2928,"[30, 29]",2,1
2929,"[30, 30]",1,30
2930,"[30, 31]",2,1
2931,"[30, 32]",2,2
2932,"[30, 33]",2,3
2933,"[30, 34]",3,2
2934,"[30, 35]",2,5
2935,"[30, 36]",2,6
2936,"[30, 37]",4,1
2937,"[30, 38]",4,2
2938,"[30, 39]",3,3
2939,"[30, 40]",2,10
2940,"[30, 41]",6,1
2941,"[30, 42]",3,6
2942,"[30, 43]",4,1
2943,"[30, 44]",3,2
2944,"[30, 45]",2,15
2945,"[30, 46]",4,2
2946,"[30, 47]",5,1
2947,"[30, 48]",4,6
2948,"[30, 49]",7,1
2949,"[30, 50]",3,10
2950,"[30, 51]",4,3
2951,"[30, 52]",5,2
2952,"[30, 53]",5,1
2953,"[30, 54]",3,6
2954,"[30, 55]",3,5
2955,"[30, 56]",4,2
2956,"[30, 57]",3,3
2957,"[30, 58]",3,2
2958,"[30, 59]",3,1
2959,"[30, 60]",1,30
2960,"[30, 61]",2,1
2961,"[30, 62]",2,2
2962,"[30, 63]",2,3
2963,"[30, 64]",3,2
2964,"[30, 65]",2,5
2965,"[30, 66]",2,6
2966,"[30, 67]",4,1
2967,"[30, 68]",4,2
2968,"[30, 69]",3,3
2969,"[30, 70]",2,10
2970,"[30, 71]",6,1
2971,"[30, 72]",3,6
2972,"[30, 73]",4,1
2973,"[30, 74]",3,2
2974,"[30, 75]",2,15
2975,"[30, 76]",4,2
2976,"[30, 77]",5,1
2977,"[30, 78]",4,6
2978,"[30, 79]",7,1
2979,"[30, 80]",3,10
2980,"[30, 81]",4,3
2981,"[30, 82]",5,2
2982,"[30, 83]",5,1
2983,"[30, 84]",3,6
2984,"[30, 85]",3,5
2985,"[30, 86]",4,2
2986,"[30, 87]",3,3
2987,"[30, 88]",3,2
2988,"[30, 89]",3,1
2989,"[30, 90]",1,30
2990,"[30, 91]",2,1
2991,"[30, 92]",2,2
2992,"[30, 93]",2,3
2993,"[30, 94]",3,2
2994,"[30, 95]",2,5
2995,"[30, 96]",2,6
2996,"[30, 97]",4,1
2997,"[30, 98]",4,2
2998,"[30, 99]",3,3
2999,"[30, 100]",2,10
3000,"[31, 1]",1,1
3001,"[31, 2]",2,1
3002,"[31, 3]",2,1
3003,"[31, 4]",3,1
3004,"[31, 5]",2,1
3005,"[31, 6]",2,1
3006,"[31, 7]",3,1
3007,"[31, 8]",3,1
3008,"[31, 9]",3,1
3009,"[31, 10]",2,1
3010,"[31, 11]",4,1
3011,"[31, 12]",5,1
3012,"[31, 13]",5,1
3013,"[31, 14]",4,1
3014,"[31, 15]",2,1
3015,"[31, 16]",3,1
3016,"[31, 17]",5,1
3017,"[31, 18]",6,1
3018,"[31, 19]",6,1
3019,"[31, 20]",5,1
3020,"[31, 21]",3,1
3021,"[31, 22]",4,1
3022,"[31, 23]",4,1
3023,"[31, 24]",4,1
3024,"[31, 25]",3,1
3025,"[31, 26]",3,1
3026,"[31, 27]",4,1
3027,"[31, 28]",3,1
3028,"[31, 29]",3,1
3029,"[31, 30]",2,1
3030,"[31, 31]",1,31
3031,"[31, 32]",2,1
3032,"[31, 33]",3,1
3033,"[31, 34]",3,1
3034,"[31, 35]",4,1
3035,"[31, 36]",3,1
3036,"[31, 37]",3,1
3037,"[31, 38]",4,1
3038,"[31, 39]",4,1
3039,"[31, 40]",4,1
3040,"[31, 41]",3,1
3041,"[31, 42]",5,1
3042,"[31, 43]",6,1
3043,"[31, 44]",6,1
3044,"[31, 45]",5,1
3045,"[31, 46]",3,1
3046,"[31, 47]",4,1
3047,"[31, 48]",6,1
3048,"[31, 49]",7,1
3049,"[31, 50]",7,1
3050,"[31, 51]",6,1
3051,"[31, 52]",4,1
3052,"[31, 53]",5,1
3053,"[31, 54]",5,1
3054,"[31, 55]",5,1
3055,"[31, 56]",4,1
3056,"[31, 57]",4,1
3057,"[31, 58]",5,1
3058,"[31, 59]",4,1
3059,"[31, 60]",4,1
3060,"[31, 61]",3,1
3061,"[31, 62]",1,31
3062,"[31, 63]",2,1
3063,"[31, 64]",3,1
3064,"[31, 65]",3,1
3065,"[31, 66]",4,1
3066,"[31, 67]",3,1
3067,"[31, 68]",3,1
3068,"[31, 69]",4,1
3069,"[31, 70]",4,1
3070,"[31, 71]",4,1
3071,"[31, 72]",3,1
3072,"[31, 73]",5,1
3073,"[31, 74]",6,1
3074,"[31, 75]",6,1
3075,"[31, 76]",5,1
3076,"[31, 77]",3,1
3077,"[31, 78]",4,1
3078,"[31, 79]",6,1
3079,"[31, 80]",7,1
3080,"[31, 81]",7,1
3081,"[31, 82]",6,1
3082,"[31, 83]",4,1
3083,"[31, 84]",5,1
3084,"[31, 85]",5,1
3085,"[31, 86]",5,1
3086,"[31, 87]",4,1
3087,"[31, 88]",4,1
3088,"[31, 89]",5,1
3089,"[31, 90]",4,1
3090,"[31, 91]",4,1
3091,"[31, 92]",3,1
3092,"[31, 93]",1,31
3093,"[31, 94]",2,1
3094,"[31, 95]",3,1
3095,"[31, 96]",3,1
3096,"[31, 97]",4,1
3097,"[31, 98]",3,1
3098,"[31, 99]",3,1
3099,"[31, 100]",4,1
3100,"[32, 1]",1,1
3101,"[32, 2]",1,2
3102,"[32, 3]",3,1
3103,"[32, 4]",1,4
3104,"[32, 5]",3,1
3105,"[32, 6]",2,2
3106,"[32, 7]",4,1
3107,"[32, 8]",1,8
3108,"[32, 9]",4,1
3109,"[32, 10]",2,2
3110,"[32, 11]",3,1
3111,"[32, 12]",3,4
3112,"[32, 13]",3,1
3113,"[32, 14]",3,2
3114,"[32, 15]",3,1
3115,"[32, 16]",1,16
3116,"[32, 17]",4,1
3117,"[32, 18]",4,2
3118,"[32, 19]",4,1
3119,"[32, 20]",4,4
3120,"[32, 21]",4,1
3121,"[32, 22]",3,2
3122,"[32, 23]",5,1
3123,"[32, 24]",2,8
3124,"[32, 25]",5,1
3125,"[32, 26]",3,2
3126,"[32, 27]",4,1
3127,"[32, 28]",2,4
3128,"[32, 29]",4,1
3129,"[32, 30]",2,2
3130,"[32, 31]",2,1
3131,"[32, 32]",1,32
3132,"[32, 33]",2,1
3133,"[32, 34]",2,2
3134,"[32, 35]",4,1
3135,"[32, 36]",2,4
3136,"[32, 37]",4,1
3137,"[32, 38]",3,2
3138,"[32, 39]",5,1
3139,"[32, 40]",2,8
3140,"[32, 41]",5,1
3141,"[32, 42]",3,2
3142,"[32, 43]",4,1
3143,"[32, 44]",4,4
3144,"[32, 45]",4,1
3145,"[32, 46]",4,2
3146,"[32, 47]",4,1
3147,"[32, 48]",2,16
3148,"[32, 49]",5,1
3149,"[32, 50]",5,2
3150,"[32, 51]",5,1
3151,"[32, 52]",5,4
3152,"[32, 53]",5,1
3153,"[32, 54]",4,2
3154,"[32, 55]",6,1
3155,"[32, 56]",3,8
3156,"[32, 57]",6,1
3157,"[32, 58]",4,2
3158,"[32, 59]",5,1
3159,"[32, 60]",3,4
3160,"[32, 61]",5,1
3161,"[32, 62]",3,2
3162,"[32, 63]",3,1
3163,"[32, 64]",1,32
3164,"[32, 65]",2,1
3165,"[32, 66]",2,2
3166,"[32, 67]",4,1
3167,"[32, 68]",2,4
3168,"[32, 69]",4,1
3169,"[32, 70]",3,2
3170,"[32, 71]",5,1
3171,"[32, 72]",2,8
3172,"[32, 73]",5,1
3173,"[32, 74]",3,2
3174,"[32, 75]",4,1
3175,"[32, 76]",4,4
3176,"[32, 77]",4,1
3177,"[32, 78]",4,2
3178,"[32, 79]",4,1
3179,"[32, 80]",2,16
3180,"[32, 81]",5,1
3181,"[32, 82]",5,2
3182,"[32, 83]",5,1
3183,"[32, 84]",5,4
3184,"[32, 85]",5,1
3185,"[32, 86]",4,2
3186,"[32, 87]",6,1
3187,"[32, 88]",3,8
3188,"[32, 89]",6,1
3189,"[32, 90]",4,2
3190,"[32, 91]",5,1
3191,"[32, 92]",3,4
3192,"[32, 93]",5,1
3193,"[32, 94]",3,2
3194,"[32, 95]",3,1
3195,"[32, 96]",1,32
3196,"[32, 97]",2,1
3197,"[32, 98]",2,2
3198,"[32, 99]",4,1
3199,"[32, 100]",2,4
3200,"[33, 1]",1,1
3201,"[33, 2]",2,1
3202,"[33, 3]",1,3
3203,"[33, 4]",2,1
3204,"[33, 5]",4,1
3205,"[33, 6]",2,3
3206,"[33, 7]",4,1
3207,"[33, 8]",2,1
3208,"[33, 9]",3,3
3209,"[33, 10]",3,1
3210,"[33, 11]",1,11
3211,"[33, 12]",3,3
3212,"[33, 13]",4,1
3213,"[33, 14]",4,1
3214,"[33, 15]",2,3
3215,"[33, 16]",2,1
3216,"[33, 17]",3,1
3217,"[33, 18]",3,3
3218,"[33, 19]",5,1
3219,"[33, 20]",5,1
3220,"[33, 21]",4,3
3221,"[33, 22]",2,11
3222,"[33, 23]",4,1
3223,"[33, 24]",4,3
3224,"[33, 25]",3,1
3225,"[33, 26]",5,1
3226,"[33, 27]",3,3
3227,"[33, 28]",5,1
3228,"[33, 29]",3,1
3229,"[33, 30]",2,3
3230,"[33, 31]",3,1
3231,"[33, 32]",2,1
3232,"[33, 33]",1,33
3233,"[33, 34]",2,1
3234,"[33, 35]",3,1
3235,"[33, 36]",2,3
3236,"[33, 37]",3,1
3237,"[33, 38]",5,1
3238,"[33, 39]",3,3
3239,"[33, 40]",5,1
3240,"[33, 41]",3,1
3241,"[33, 42]",4,3
3242,"[33, 43]",4,1
3243,"[33, 44]",2,11
3244,"[33, 45]",4,3
3245,"[33, 46]",5,1
3246,"[33, 47]",5,1
3247,"[33, 48]",3,3
3248,"[33, 49]",3,1
3249,"[33, 50]",4,1
3250,"[33, 51]",4,3
3251,"[33, 52]",6,1
3252,"[33, 53]",6,1
3253,"[33, 54]",5,3
3254,"[33, 55]",3,11
3255,"[33, 56]",5,1
3256,"[33, 57]",5,3
3257,"[33, 58]",4,1
3258,"[33, 59]",6,1
3259,"[33, 60]",4,3
3260,"[33, 61]",6,1
3261,"[33, 62]",4,1
3262,"[33, 63]",3,3
3263,"[33, 64]",4,1
3264,"[33, 65]",3,1
3265,"[33, 66]",1,33
3266,"[33, 67]",2,1
3267,"[33, 68]",3,1
3268,"[33, 69]",2,3
3269,"[33, 70]",3,1
3270,"[33, 71]",5,1
3271,"[33, 72]",3,3
3272,"[33, 73]",5,1
3273,"[33, 74]",3,1
3274,"[33, 75]",4,3
3275,"[33, 76]",4,1
3276,"[33, 77]",2,11
3277,"[33, 78]",4,3
3278,"[33, 79]",5,1
3279,"[33, 80]",5,1
3280,"[33, 81]",3,3
3281,"[33, 82]",3,1
3282,"[33, 83]",4,1
3283,"[33, 84]",4,3
3284,"[33, 85]",6,1
3285,"[33, 86]",6,1
3286,"[33, 87]",5,3
3287,"[33, 88]",3,11
3288,"[33, 89]",5,1
3289,"[33, 90]",5,3
3290,"[33, 91]",4,1
3291,"[33, 92]",6,1
3292,"[33, 93]",4,3
3293,"[33, 94]",6,1
3294,"[33, 95]",4,1
3295,"[33, 96]",3,3
3296,"[33, 97]",4,1
3297,"[33, 98]",3,1
3298,"[33, 99]",1,33
3299,"[33, 100]",2,1
3300,"[34, 1]",1,1
3301,"[34, 2]",1,2
3302,"[34, 3]",2,1
3303,"[34, 4]",2,2
3304,"[34, 5]",3,1
3305,"[34, 6]",3,2
3306,"[34, 7]",3,1
3307,"[34, 8]",2,2
3308,"[34, 9]",4,1
3309,"[34, 10]",3,2
3310,"[34, 11]",2,1
3311,"[34, 12]",3,2
3312,"[34, 13]",6,1
3313,"[34, 14]",3,2
3314,"[34, 15]",4,1
3315,"[34, 16]",2,2
3316,"[34, 17]",1,17
3317,"[34, 18]",3,2
3318,"[34, 19]",5,1
3319,"[34, 20]",4,2
3320,"[34, 21]",7,1
3321,"[34, 22]",4,2
3322,"[34, 23]",3,1
3323,"[34, 24]",4,2
3324,"[34, 25]",5,1
3325,"[34, 26]",3,2
3326,"[34, 27]",4,1
3327,"[34, 28]",4,2
3328,"[34, 29]",4,1
3329,"[34, 30]",3,2
3330,"[34, 31]",3,1
3331,"[34, 32]",2,2
3332,"[34, 33]",2,1
3333,"[34, 34]",1,34
3334,"[34, 35]",2,1
3335,"[34, 36]",2,2
3336,"[34, 37]",3,1
3337,"[34, 38]",3,2
3338,"[34, 39]",4,1
3339,"[34, 40]",4,2
3340,"[34, 41]",4,1
3341,"[34, 42]",3,2
3342,"[34, 43]",5,1
3343,"[34, 44]",4,2
3344,"[34, 45]",3,1
3345,"[34, 46]",4,2
3346,"[34, 47]",7,1
3347,"[34, 48]",4,2
3348,"[34, 49]",5,1
3349,"[34, 50]",3,2
3350,"[34, 51]",2,17
3351,"[34, 52]",4,2
3352,"[34, 53]",6,1
3353,"[34, 54]",5,2
3354,"[34, 55]",8,1
3355,"[34, 56]",5,2
3356,"[34, 57]",4,1
3357,"[34, 58]",5,2
3358,"[34, 59]",6,1
3359,"[34, 60]",4,2
3360,"[34, 61]",5,1
3361,"[34, 62]",5,2
3362,"[34, 63]",5,1
3363,"[34, 64]",4,2
3364,"[34, 65]",4,1
3365,"[34, 66]",3,2
3366,"[34, 67]",3,1
3367,"[34, 68]",1,34
3368,"[34, 69]",2,1
3369,"[34, 70]",2,2
3370,"[34, 71]",3,1
3371,"[34, 72]",3,2
3372,"[34, 73]",4,1
3373,"[34, 74]",4,2
3374,"[34, 75]",4,1
3375,"[34, 76]",3,2
3376,"[34, 77]",5,1
3377,"[34, 78]",4,2
3378,"[34, 79]",3,1
3379,"[34, 80]",4,2
3380,"[34, 81]",7,1
3381,"[34, 82]",4,2
3382,"[34, 83]",5,1
3383,"[34, 84]",3,2
3384,"[34, 85]",2,17
3385,"[34, 86]",4,2
3386,"[34, 87]",6,1
3387,"[34, 88]",5,2
3388,"[34, 89]",8,1
3389,"[34, 90]",5,2
3390,"[34, 91]",4,1
3391,"[34, 92]",5,2
3392,"[34, 93]",6,1
3393,"[34, 94]",4,2
3394,"[34, 95]",5,1
3395,"[34, 96]",5,2
3396,"[34, 97]",5,1
3397,"[34, 98]",4,2
3398,"[34, 99]",4,1
3399,"[34, 100]",3,2
3400,"[35, 1]",1,1
3401,"[35, 2]",2,1
3402,"[35, 3]",3,1
3403,"[35, 4]",3,1
3404,"[35, 5]",1,5
3405,"[35, 6]",3,1
3406,"[35, 7]",1,7
3407,"[35, 8]",4,1
3408,"[35, 9]",3,1
3409,"[35, 10]",2,5
3410,"[35, 11]",3,1
3411,"[35, 12]",3,1
3412,"[35, 13]",4,1
3413,"[35, 14]",2,7
3414,"[35, 15]",2,5
3415,"[35, 16]",3,1
3416,"[35, 17]",2,1
3417,"[35, 18]",3,1
3418,"[35, 19]",4,1
3419,"[35, 20]",3,5
3420,"[35, 21]",3,7
3421,"[35, 22]",5,1
3422,"[35, 23]",4,1
3423,"[35, 24]",4,1
3424,"[35, 25]",3,5
3425,"[35, 26]",4,1
3426,"[35, 27]",5,1
3427,"[35, 28]",2,7
3428,"[35, 29]",4,1
3429,"[35, 30]",2,5
3430,"[35, 31]",4,1
3431,"[35, 32]",4,1
3432,"[35, 33]",3,1
3433,"[35, 34]",2,1
3434,"[35, 35]",1,35
3435,"[35, 36]",2,1
3436,"[35, 37]",3,1
3437,"[35, 38]",4,1
3438,"[35, 39]",4,1
3439,"[35, 40]",2,5
3440,"[35, 41]",4,1
3441,"[35, 42]",2,7
3442,"[35, 43]",5,1
3443,"[35, 44]",4,1
3444,"[35, 45]",3,5
3445,"[35, 46]",4,1
3446,"[35, 47]",4,1
3447,"[35, 48]",5,1
3448,"[35, 49]",3,7
3449,"[35, 50]",3,5
3450,"[35, 51]",4,1
3451,"[35, 52]",3,1
3452,"[35, 53]",4,1
3453,"[35, 54]",5,1
3454,"[35, 55]",4,5
3455,"[35, 56]",4,7
3456,"[35, 57]",6,1
3457,"[35, 58]",5,1
