,Unnamed: 0,FG code ,Model,connector type,connector SIZE
138,138,023Z5019,5,SOLDER,3/8
139,139,023Z5020,5,SOLDER,10
140,140,023Z5022,8,SOLDER,1/4
141,141,023Z5023,8,SOLDER,3/8
142,142,023Z5024,8,SOLDER,10
143,143,023Z5026,8,SOLDER,1/2
144,144,023Z5028,16,SOLDER,1/2
145,145,023Z5029,16,SOLDER,3/8
146,146,023Z5030,16,SOLDER,10
147,147,023Z5031,16,SOLDER,12
148,148,023Z5032,16,SOLDER,1/2
149,149,023Z5033,16,SOLDER,5/8
150,150,023Z5034,16,SOLDER,7/8
151,151,023Z3177,5,SOLDER,38
152,152,023Z5000,3,FLAR,1/4
153,153,023Z5001,3,FLAR,3/8
154,154,023Z5000,3,FLAR,1/4
155,155,023Z5001,3,FLAR,3/8
156,156,023Z5035,3,FLAR,1/4
157,157,023Z5036,3,FLAR,3/8
158,158,023Z5075,3,FLAR,1/4
159,159,023Z5089,3,FLAR,10
160,160,023Z5090,3,FLAR,3/8
161,161,023Z8035,3,FLAR,1/4
162,162,023Z8077,3,FLAR,1/4
163,163,023Z5002,5,FLAR,1/4
164,164,023Z5003,5,FLAR,3/8
165,165,023Z5002,5,FLAR,1/4
166,166,023Z5003,5,FLAR,3/8
167,167,023Z5037,5,FLAR,1/4
168,168,023Z5038,5,FLAR,3/8
169,169,023Z8002,5,FLAR,1/4
170,170,023Z8003,5,FLAR,3/8
171,171,023Z8037,5,FLAR,1/4
172,172,023Z8038,5,FLAR,3/8
173,173,023Z8098,5,FLAR,1/4
174,174,023Z8099,5,FLAR,3/8
175,175,023Z5004,8,FLAR,1/4
176,176,023Z5005,8,FLAR,3/8
177,177,023Z5006,8,FLAR,1/2
178,178,023Z5004,8,FLAR,1/4
179,179,023Z5005,8,FLAR,3/8
180,180,023Z5006,8,FLAR,1/2
181,181,023Z5039,8,FLAR,1/4
182,182,023Z5040,8,FLAR,3/8
183,183,023Z5041,8,FLAR,1/2
184,184,023Z5073,8,FLAR,5/8
185,185,023Z8001,8,FLAR,1/2
186,186,023Z8004,8,FLAR,1/4
187,187,023Z8005,8,FLAR,3/8
188,188,023Z8015,8,FLAR,1/4
189,189,023Z8016,8,FLAR,3/8
190,190,023Z8040,8,FLAR,3/8
191,191,023Z8041,8,FLAR,1/2
192,192,023Z5007,16,FLAR,1/4
193,193,023Z5008,16,FLAR,3/8
194,194,023Z5009,16,FLAR,1/2
195,195,023Z5010,16,FLAR,5/8
196,196,023Z5011,16,FLAR,3/4
197,197,023Z5007,16,FLAR,1/4
198,198,023Z5008,16,FLAR,3/8
199,199,023Z5009,16,FLAR,1/2
200,200,023Z5010,16,FLAR,5/8
201,201,023Z5011,16,FLAR,3/4
202,202,023Z5042,16,FLAR,1/4
203,203,023Z5043,16,FLAR,3/8
204,204,023Z5044,16,FLAR,1/2
205,205,023Z5045,16,FLAR,5/8
206,206,023Z5046,16,FLAR,3/4
207,207,023Z8007,16,FLAR,1/4
208,208,023Z8008,16,FLAR,1/4
209,209,023Z8009,16,FLAR,1/2
210,210,023Z8010,16,FLAR,5/8
211,211,023Z8042,16,FLAR,1/4
212,212,023Z8043,16,FLAR,3/8
213,213,023Z8044,16,FLAR,1/2
214,214,023Z8045,16,FLAR,5/8
215,215,023Z8156,16,FLAR,5/8
216,216,023Z8157,16,FLAR,3/8
217,217,023Z8158,16,FLAR,1/2
