,Unnamed: 0,Si No,FG Code,Description,For Paint,Painted,Model,Connector Type,Connector Size,Type
44,44,45,023Z4554,Filter drier DML 033S/10mm M/32 , 023Z1712 , 023Z1713 ,3,CU-PLATED,10MM,3 CU-PLATED
45,45,46,023Z4555,Filter drier DML 033S M/32 , 023Z1580 , 023Z1581 ,3,CU-PLATED,3/8,3 CU-PLATED
46,46,47,023Z4556,Filter drier DML 034S M/32 , 023Z1864 , 023Z1865 ,3,CU-PLATED,1/2,3 CU-PLATED
47,47,48,023Z4557,Filter drier DML 034S/12mm M/32 , 023Z1892 , 023Z1893 ,3,CU-PLATED,12MM,3 CU-PLATED
48,48,49,023Z4558,Filter drier DML 052S/6mm M/24 , 023Z1932 , 023Z1933 ,5,CU-PLATED,6MM,5 CU-PLATED
49,49,50,023Z4559,Filter drier DML 052S M/24 , 023Z1588 , 023Z1589 ,5,CU-PLATED,1/4,5 CU-PLATED
50,50,51,023Z4560,Filter drier DML 052.5S M/24 , 023Z1926 , 023Z1927 ,5,CU-PLATED,5/16,5 CU-PLATED
51,51,52,023Z4561,Filter drier DML 053S/10mm M/24 , 023Z0978 , 023Z0979 ,5,CU-PLATED,10MM,5 CU-PLATED
52,52,53,023Z4562,Filter drier DML 053S M/24 , 023Z0976 , 023Z0977 ,5,CU-PLATED,3/8,5 CU-PLATED
53,53,54,023Z4563,Filter drier DML 054S/12mm M/24 , 023Z1918 , 023Z1919 ,5,CU-PLATED,12MM,5 CU-PLATED
54,54,55,023Z4564,Filter drier DML 054S M/24 , 023Z1714 , 023Z1715 ,5,CU-PLATED,1/2,5 CU-PLATED
55,55,56,023Z4565,Filter drier DML 055S M/24 , 023Z1916 , 023Z1917 ,5,CU-PLATED,5/8,5 CU-PLATED
56,56,57,023Z4566,Filter drier DML 082S/6mm M/24 , 023Z1934 , 023Z1935 ,8,CU-PLATED,6MM,8 CU-PLATED
57,57,58,023Z4567,Filter drier DML 082S M/24 , 023Z1860 , 023Z1861 ,8,CU-PLATED,1/4,8 CU-PLATED
58,58,59,023Z4569,Filter drier DML 083S/10mm M/24 , 023Z1838 , 023Z1839 ,8,CU-PLATED,10MM,8 CU-PLATED
59,59,60,023Z4570,Filter drier DML 083S M/24 , 023Z1234 , 023Z1235 ,8,CU-PLATED,3/8,8 CU-PLATED
60,60,61,023Z4571,Filter drier DML 084S/12mm M/24 , 023Z1848 , 023Z1849 ,8,CU-PLATED,12MM,8 CU-PLATED
61,61,62,023Z4572,Filter drier DML 084S M/24 , 023Z1228 , 023Z1229 ,8,CU-PLATED,1/2,8 CU-PLATED
62,62,63,023Z4573,Filter drier DML 085S M/24 , 023Z1592 , 023Z1593 ,8,CU-PLATED,5/8,8 CU-PLATED
63,63,64,023Z4574,Filter drier DML 162S/6mm M/12 , 023Z1910 , 023Z1911 ,16,CU-PLATED,6MM,16 CU-PLATED
64,64,65,023Z4575,Filter drier DML 162S M/12 , 023Z1920 , 023Z1921 ,16,CU-PLATED,1/4,16 CU-PLATED
65,65,66,023Z4577,Filter drier DML 163S/10mm M/12 , 023Z1856 , 023Z1857 ,16,CU-PLATED,10MM,16 CU-PLATED
66,66,67,023Z4578,Filter drier DML 163S M/12 , 023Z1700 , 023Z1701 ,16,CU-PLATED,3/8,16 CU-PLATED
67,67,68,023Z4579,Filter drier DML 164S/12mm M/12 , 023Z1538 , 023Z1539 ,16,CU-PLATED,1/2,16 CU-PLATED
68,68,69,023Z4580,Filter drier DML 164S M/12 , 023Z1596 , 023Z1597 ,16,CU-PLATED,1/2,16 CU-PLATED
69,69,70,023Z4581,Filter drier DML 165S M/12 , 023Z1532 , 023Z1533 ,16,CU-PLATED,5/8,16 CU-PLATED
70,70,71,023Z4582,Filter drier DML 166S/19mm M/12 , 023Z1396 , 023Z1397 ,16,CU-PLATED,3/4/19mm,16 CU-PLATED
