,Unnamed: 0,Si No,FG Code,Description,For Paint,Painted,Model,Connector Type,Connector Size,Type
204,204,186,023Z5044,Filter drier DML 164 M/12 , 023Z1268 , 023Z1269 ,16,FLARE,1/2,16 FLARE
205,205,187,023Z5045,Filter drier DML 165 M/12 , 023Z1284 , 023Z1285 ,16,FLARE,5/8,16 FLARE
206,206,188,023Z5046,Filter drier DML 166 M/12 , 023Z1276 , 023Z1277 ,16,FLARE,3/4,16 FLARE
207,207,198,023Z8007,Filter drier DCL 162 I/12 , 023Z1950 , 023Z1951 ,16,FLARE,1/4,16 FLARE
208,208,199,023Z8008,Filter drier DCL 163 I/12 , 023Z1952 , 023Z1953 ,16,FLARE,1/4,16 FLARE
209,209,200,023Z8009,Filter drier DCL 164 I/12 , 023Z1266 , 023Z1267 ,16,FLARE,1/2,16 FLARE
210,210,201,023Z8010,Filter drier DCL 165 I/12 , 023Z1282 , 023Z1283 ,16,FLARE,5/8,16 FLARE
211,211,209,023Z8042,Filter drier DML 162 I/12 , 023Z1832 , 023Z1833 ,16,FLARE,1/4,16 FLARE
212,212,210,023Z8043,Filter drier DML 163 I/12 , 023Z1280 , 023Z1281 ,16,FLARE,3/8,16 FLARE
213,213,211,023Z8044,Filter drier DML 164 I/12 , 023Z1268 , 023Z1269 ,16,FLARE,1/2,16 FLARE
214,214,212,023Z8045,Filter drier DML 165 I/12 , 023Z1284 , 023Z1285 ,16,FLARE,5/8,16 FLARE
215,215,216,023Z8156,Filter drier DCL 165 M/12 , 023Z1882 , 023Z1883 ,16,FLARE,5/8,16 FLARE
216,216,217,023Z8157,Filter drier DCL 163 M/12 , 023Z1906 , 023Z1907 ,16,FLARE,3/8,16 FLARE
217,217,218,023Z8158,Filter drier DCL 164 M/12 , 023Z1890 , 023Z1891 ,16,FLARE,1/2,16 FLARE
